timestamp,open,high,low,close,volume
2019-09-23,242.0000,242.0000,236.0000,236.0000,1219500
2019-09-20,240.0000,242.0000,238.0000,240.0000,982600
2019-09-19,242.0000,246.0000,238.0000,240.0000,1054100
2019-09-18,244.0000,244.0000,240.0000,242.0000,2099700
2019-09-17,240.0000,244.0000,238.0000,240.0000,2076300
2019-09-16,246.0000,248.0000,238.0000,240.0000,3326200
2019-09-13,252.0000,254.0000,242.0000,244.0000,4510700
2019-09-12,248.0000,256.0000,246.0000,252.0000,5765600
2019-09-11,244.0000,246.0000,242.0000,246.0000,13067100
2019-09-10,244.0000,246.0000,240.0000,242.0000,3466900
2019-09-09,244.0000,246.0000,240.0000,242.0000,3123300
2019-09-06,244.0000,250.0000,240.0000,242.0000,2530000
2019-09-05,238.0000,246.0000,238.0000,244.0000,4161100
2019-09-04,244.0000,250.0000,238.0000,238.0000,9781400
2019-09-03,258.0000,258.0000,238.0000,244.0000,8429600
2019-09-02,260.0000,262.0000,252.0000,254.0000,3080300
2019-08-30,262.0000,266.0000,258.0000,260.0000,3206400
2019-08-29,262.0000,276.0000,258.0000,260.0000,9041000
2019-08-28,258.0000,262.0000,258.0000,258.0000,2336800
2019-08-27,258.0000,266.0000,256.0000,258.0000,1683400
2019-08-26,266.0000,266.0000,256.0000,258.0000,2391800
2019-08-23,274.0000,278.0000,264.0000,266.0000,6916300
2019-08-22,254.0000,282.0000,254.0000,274.0000,22368100
2019-08-21,260.0000,264.0000,250.0000,252.0000,4676700
2019-08-20,252.0000,264.0000,252.0000,256.0000,4073900
2019-08-19,250.0000,256.0000,250.0000,252.0000,2238000
2019-08-16,260.0000,260.0000,246.0000,250.0000,7161800
2019-08-15,260.0000,262.0000,254.0000,258.0000,3879000
2019-08-14,264.0000,268.0000,260.0000,262.0000,3785400
2019-08-13,270.0000,272.0000,260.0000,262.0000,3212100
2019-08-12,270.0000,280.0000,268.0000,270.0000,1674900
2019-08-09,266.0000,276.0000,266.0000,270.0000,5252300
2019-08-08,272.0000,272.0000,266.0000,266.0000,2840800
2019-08-07,270.0000,276.0000,268.0000,270.0000,2786700
2019-08-06,268.0000,274.0000,258.0000,268.0000,4692200
2019-08-05,278.0000,278.0000,266.0000,268.0000,3658300
2019-08-02,280.0000,280.0000,274.0000,278.0000,795400
2019-08-01,284.0000,284.0000,278.0000,280.0000,1598700
2019-07-31,284.0000,286.0000,280.0000,280.0000,1353800
2019-07-30,284.0000,286.0000,278.0000,284.0000,1125500
2019-07-29,290.0000,290.0000,278.0000,280.0000,1444800
2019-07-26,290.0000,292.0000,280.0000,282.0000,1966100
2019-07-25,292.0000,294.0000,286.0000,290.0000,2162200
2019-07-24,296.0000,298.0000,290.0000,292.0000,2182000
2019-07-23,300.0000,300.0000,292.0000,296.0000,2107800
2019-07-22,304.0000,304.0000,292.0000,294.0000,4897700
2019-07-19,308.0000,310.0000,304.0000,304.0000,1608900
2019-07-18,308.0000,314.0000,304.0000,306.0000,2077800
2019-07-17,312.0000,312.0000,306.0000,308.0000,2242600
2019-07-16,312.0000,316.0000,312.0000,312.0000,3515900
2019-07-15,318.0000,320.0000,310.0000,312.0000,4711300
