date,open,high,low,close,volume,timestamp
2019-09-23,430.0000,434.0000,424.0000,424.0000,1330900,1569171600000
2019-09-20,428.0000,434.0000,424.0000,430.0000,1052300,1568912400000
2019-09-19,434.0000,436.0000,424.0000,428.0000,2738000,1568826000000
2019-09-18,414.0000,438.0000,414.0000,434.0000,9544000,1568739600000
2019-09-17,410.0000,418.0000,408.0000,414.0000,3036200,1568653200000
2019-09-16,424.0000,428.0000,406.0000,408.0000,8250300,1568566800000
2019-09-13,442.0000,442.0000,424.0000,426.0000,5508600,1568307600000
